0,g1,g2,g3,구이,국,갈비구이,갈치구이,계란국,고등어구이,곱창구이,떡국_만두국,무국
d:/kfood\국\계란국\Img_014_0610.jpg,국,계란국,Img_014_0610.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0596.jpg,구이,갈비구이,Img_000_0596.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\무국\Img_016_0909.jpg,국,무국,Img_016_0909.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0098.jpg,구이,갈치구이,Img_001_0098.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0026.jpg,국,떡국_만두국,Img_015_0026.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈비구이\Img_000_0941.jpg,구이,갈비구이,Img_000_0941.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0810.jpg,국,떡국_만두국,Img_015_0810.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\떡국_만두국\Img_015_0923.jpg,국,떡국_만두국,Img_015_0923.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\떡국_만두국\Img_015_0043.jpg,국,떡국_만두국,Img_015_0043.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈치구이\Img_001_0446.jpg,구이,갈치구이,Img_001_0446.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0438.jpg,국,무국,Img_016_0438.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\고등어구이\Img_002_0354.jpg,구이,고등어구이,Img_002_0354.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\고등어구이\Img_002_0041.jpg,구이,고등어구이,Img_002_0041.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\계란국\Img_014_0892.jpg,국,계란국,Img_014_0892.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0727.jpg,구이,고등어구이,Img_002_0727.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\무국\Img_016_0145.jpg,국,무국,Img_016_0145.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\곱창구이\Img_003_0319.jpg,구이,곱창구이,Img_003_0319.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈비구이\Img_000_0655.jpg,구이,갈비구이,Img_000_0655.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0571.jpg,국,계란국,Img_014_0571.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0683.jpg,구이,고등어구이,Img_002_0683.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\곱창구이\Img_003_0776.jpg,구이,곱창구이,Img_003_0776.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈치구이\Img_001_0895.jpg,구이,갈치구이,Img_001_0895.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0038.jpg,국,계란국,Img_014_0038.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0452.jpg,구이,고등어구이,Img_002_0452.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈비구이\Img_000_0793.jpg,구이,갈비구이,Img_000_0793.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0414.jpg,구이,갈치구이,Img_001_0414.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0875.jpg,국,계란국,Img_014_0875.jpg,False,True,False,False,True,False,False,False,False
